"","foodExp_Cereals_Cash_Purchase","foodExp_Cereals_Credit_Purchase","foodExp_Cereals_NonPurchase_Bartering","foodExp_Cereals_NonPurchase_BorrowFromFamilyFriends","foodExp_Cereals_NonPurchase_Farming","foodExp_Cereals_NonPurchase_FishHuntGather","foodExp_Cereals_NonPurchase_Gifts","foodExp_Cereals_NonPurchase_NonPurchased","foodExp_Cereals_NonPurchase_SocialSafetyNets","foodExp_Tubers_Cash_Purchase","foodExp_Tubers_Credit_Purchase","foodExp_Tubers_NonPurchase_Bartering","foodExp_Tubers_NonPurchase_BorrowFromFamilyFriends","foodExp_Tubers_NonPurchase_Farming","foodExp_Tubers_NonPurchase_FishHuntGather","foodExp_Tubers_NonPurchase_Gifts","foodExp_Tubers_NonPurchase_NonPurchased","foodExp_Tubers_NonPurchase_SocialSafetyNets","foodExp_Pulses_Cash_Purchase","foodExp_Pulses_Credit_Purchase","foodExp_Pulses_NonPurchase_Bartering","foodExp_Pulses_NonPurchase_BorrowFromFamilyFriends","foodExp_Pulses_NonPurchase_Farming","foodExp_Pulses_NonPurchase_FishHuntGather","foodExp_Pulses_NonPurchase_Gifts","foodExp_Pulses_NonPurchase_NonPurchased","foodExp_Pulses_NonPurchase_SocialSafetyNets","foodExp_FruitsVeg_Cash_Purchase","foodExp_FruitsVeg_Credit_Purchase","foodExp_FruitsVeg_NonPurchase_Bartering","foodExp_FruitsVeg_NonPurchase_Farming","foodExp_FruitsVeg_NonPurchase_FishHuntGather","foodExp_FruitsVeg_NonPurchase_Gifts","foodExp_FruitsVeg_NonPurchase_NonPurchased","foodExp_FruitsVeg_NonPurchase_SocialSafetyNets","foodExp_Proteins_Cash_Purchase","foodExp_Proteins_Credit_Purchase","foodExp_Proteins_NonPurchase_BorrowFromFamilyFriends","foodExp_Proteins_NonPurchase_Farming","foodExp_Proteins_NonPurchase_FishHuntGather","foodExp_Proteins_NonPurchase_Gifts","foodExp_Proteins_NonPurchase_NonPurchased","foodExp_Proteins_NonPurchase_SocialSafetyNets","foodExp_Fats_Cash_Purchase","foodExp_Fats_Credit_Purchase","foodExp_Fats_NonPurchase_Bartering","foodExp_Fats_NonPurchase_Farming","foodExp_Fats_NonPurchase_FishHuntGather","foodExp_Fats_NonPurchase_Gifts","foodExp_Fats_NonPurchase_NonPurchased","foodExp_Fats_NonPurchase_SocialSafetyNets","foodExp_Dairy_Cash_Purchase","foodExp_Dairy_Credit_Purchase","foodExp_Dairy_NonPurchase_Bartering","foodExp_Dairy_NonPurchase_BorrowFromFamilyFriends","foodExp_Dairy_NonPurchase_Farming","foodExp_Dairy_NonPurchase_FishHuntGather","foodExp_Dairy_NonPurchase_Gifts","foodExp_Dairy_NonPurchase_NonPurchased","foodExp_Dairy_NonPurchase_SocialSafetyNets","foodExp_Sugars_Cash_Purchase","foodExp_Sugars_Credit_Purchase","foodExp_Sugars_NonPurchase_Bartering","foodExp_Sugars_NonPurchase_BorrowFromFamilyFriends","foodExp_Sugars_NonPurchase_Farming","foodExp_Sugars_NonPurchase_FishHuntGather","foodExp_Sugars_NonPurchase_Gifts","foodExp_Sugars_NonPurchase_NonPurchased","foodExp_Sugars_NonPurchase_SocialSafetyNets","foodExp_Tea_Cash_Purchase","foodExp_Tea_Credit_Purchase","foodExp_Tea_NonPurchase_BorrowFromFamilyFriends","foodExp_Tea_NonPurchase_Farming","foodExp_Tea_NonPurchase_FishHuntGather","foodExp_Tea_NonPurchase_Gifts","foodExp_Tea_NonPurchase_NonPurchased"
"680",600,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"681",3000,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,200,,,,,,,,250,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"682",2000,,,,,,,,,,,,,,,,,,2500,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"683",1500,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"684",1200,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,1800,,,,,,,,,150,,,,,,,,,,,,,,,
"685",3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,,
"686",3000,,,,,,,,,,,,,,,,,,150,,,,,,,,,100,,,,,,,,100,,,,,,,,1500,,,,,,,,,,,,1000,,,,,150,,,,,,,,,,,,,,,
"687",4500,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,600,,,,,,,,,,,,1000,,,,,1000,,,,,,,,,,,,,,,
"688",9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,
"689",8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,,,,,2000,,,,,,,,,,,,1500,,,,,200,,,,,,,,,,,,,,,
"690",6000,,,,,,,350,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,1000,,,,,60,,,,,,,,,,,,,,,
"691",,,,,,,200,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"692",,,,,,,,5000,,,,,,,,,,,,,,,,,,3000,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"693",,,,,,,,,5000,,,,,,,,,,4500,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"694",,,,,,,,7000,,,,,,,,,,,,,,,,,,,5000,150,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"695",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,
"696",500,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"697",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,
"698",500,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
"699",1200,,,,,,,,,,,,,,,,,,,,,,,,,,800,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,
"700",5000,,,,,,,,,,,,,,,,,,2500,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,
"701",4500,,,,,,,,,,,,,,,,,,1500,,,,,,,,,100,,,,,,,,100,,,,,,,,2000,,,,,,,,2000,,,,,,,,,100,,,,,,,,,,,,,,,
"702",4000,,,,,,,,,,,,,,,,,,350,,,,,,,,,100,,,,,,,,300,,,,,,,,3000,,,,,,,,,,,,2000,,,,,500,,,,,,,,,,,,,,,
"703",9000,,,,,,,,,,,,,,,,,,6000,,,,,,,,,,,,500,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"704",9000,,,,,,,,,,,,,,,,,,2500,,,,,,,,,100,,,,,,,,150,,,,,,,,5000,,,,,,,,500,,,,,,,,,100,,,,,,,,,,,,,,,
"705",9600,,,,,,,,,,,,,,,,,,9000,,,,,,,,,,,,500,,,,,,,,,,,,,1200,,,,,,,,,,,,2000,,,,,300,,,,,,,,,,,,,,,
"706",500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,
"707",,,,,,,,,500,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"708",1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,
"709",1500,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"710",3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,
"711",3000,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"712",3000,,,,,,,,,,,,,,,,,,800,,,,,,,,,100,,,,,,,,150,,,,,,200,,800,,,,,,,,,,,,1000,,,,,150,,,,,,,,,,,,,,,
"713",4500,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,160,,,,,,,,600,,,,,,,,,,,,,,,2000,,100,,,,,,,,,,,,,,,
"714",,,,,,,,,5000,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"715",4000,,,,,,,,,,,,,,,,,,3500,,,,,,,,,,,,,,,,,150,,,,,,,,800,,,,,,,,150,,,,1000,,,,,100,,,,,,,,,,,,,,,
"716",4000,,,,,,,,,,,,,,,,,,3500,,,,,,,,,100,,,,,,,,150,,,,,,,,600,,,,,,,,,,,,2000,,,,,100,,,,,,,,,,,,,,,
"717",600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"718",300,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"719",1200,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,500,,100,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,
"720",,,,,,,,,3500,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,750,,,,,,,,,,,,,,,,,,,,,,,,,
"721",,,,,,,,,3500,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,
"722",,,,,,,,,3500,,,,,,,,,,,,,,,,,,350,,,,,800,,,,,,,,,,,,,,,,,,420,,,,,,,,,,,150,,,,,,,,,,,,,,,
"723",4800,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,
"724",,,,,,,,1560,,,,,,,,,,,,,,,,,,500,,,,,,,,,,200,,,,,,,,400,,,,,,,,,,,,4500,,,,,100,,,,,,,,,,,,,,,
"725",3000,,,,,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"726",1600,,,,,,,,,50,,,,,,,50,,600,,,,,,,,,100,,,,,,,,1000,,,800,,,,,1800,,,,,,250,,1500,,,,300,,,,,500,,,,,,,,,50,,,,,,
"727",4050,,,,,,,1620,,50,,,,,,,50,,300,,,,,,,,,,,,,,,,,400,,,,,,,,900,,,,,,,,,,,,1500,,,,,10050,,,,,,,,,50,,,,,,
"728",900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,
"729",2560,,,,,,,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,,,,,,,,,,,,,,,,,135,,,,,,,,,,,,,,,
"730",300,,,,,,,1000,,,,,,,,,,,500,,,,,,,100,,,,,,,,,,,,,,,,,,300,,,,,,,400,,,,,,,,,,250,,,,,,,,,,,,,,,
"731",600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,
"732",500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,160,,,,,,,,,,,,,,,
"733",500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,
"734",2000,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,200,,,,,,500,,10,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,
"735",3000,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,100,,,,,,,,150,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"736",2500,,,,500,,,,,,,,,,,,,,,,,,,,,750,,,,,,850,,,,,,,,,,,,200,,,,,,700,,,,,,,,,,,150,,,,,,,,,,,,,,,
"737",1150,,,,,,,,2900,,,,,,,,,,50,,,,,,,,450,,,,,,,,,400,,,,,,,,500,,,,,,300,,,,,,,,,,,50,,,,,,,,,,,,,,,
"738",1000,,,,,,,25,,,,,,,,,,,400,,,,,,,,800,,,,,,,,,,,,,,,,,1000,,,,,,950,,,,,,200,,,,,200,,,,,,,,,50,,,,,,
"739",1000,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,30,,,,,,,,30,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,
"740",1250,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,500,,,,,,1500,,300,,,,,,,,,,,,500,,,,,50,,,,,,,,,,,,,,,
"741",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,40,,,,,,,,,,,,,,,
"742",250,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"743",,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,400,,,,,,,,,,40,,,,,,,,,,,,,,,
"744",350,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,,,,,,,,,,100,,,,,,,,,,,,,,,
"745",400,,,,,,,,,,,,,,,,,,30,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,10,,,,,,,,,,,,,,,
"746",800,,,,200,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"747",3000,,,,,,,,,,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,600,,,,,,,,,100,,,,,,,,,,,,,,,
"748",450,,,,,,,,4000,,,,,,,,,,150,,,,,,,600,,,,,,,,,,,,,,,,,,150,,,,,,1200,,,,,,,,,,,50,,,,,,,,,,,,,,,
"749",3000,,,,,,,,2500,,,,,,,,,,,,,,,,,500,,,,,,3500,,,,,,,,,,,,450,,,,,,700,,,,,,,,,,,150,,,,,,,,,,,,,,,
"750",3800,,,,,,,,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,
"751",6000,,,,,,,,3500,,,,,,,,,,580,,,,,,,750,,,,,,1250,,,,,,,,,,,,500,,,,,,800,,,,,,,,,,,150,,,,,,,,,,,,,,,
"752",3500,,,,,,,,3580,,,,,,,,,,5000,,,,,,,780,,,,,,950,,,,650,,,,,,,,850,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,
"753",2000,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"754",6000,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,500,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
"755",2000,,,,,,,,,,,,,,,,800,,2000,,,,,,,,,300,,,,,,,,1000,,,,,,,,800,,,,,,,,,,,,,,,,,950,,,,,,,,,,,,,,,
"756",2500,,,,1500,,,,,,,,,3000,,,,,3000,,,,,,,,,500,,,,,,,,,,,,,,,,480,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,500
"757",10000,,,,,,,,,,,,,,,,120,,1280,,,,,,,,,,,,,,,,,1500,,,,,,,,650,,,,,,,,,,,,,,,,,1350,,,,,,,,,,,,,,,
"758",10000,,,,,,,15000,,,,,,,,,3000,,5000,,,,,,,,,200,,,,,,,,1200,,,,,,,,1500,,,,,,,,,,,,,,,,,1100,,,,,,,,,,,,,,,
"759",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"760",,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"761",,,,,15,,,,,,,,,40,,,,,100,,,,,,,,,,,,,,,20,,,,,,,,,,30,,,,,,,,,,,,,,,,,150,,,,,,,,,20,,,,,,
"762",,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"763",,,,,3000,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,
"764",4000,,,,,,,,,,,,,700,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"765",4000,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"766",,,,,4000,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,
"767",4000,,,,,,,,,,,,,,,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,
"768",,,,,,,,,,8400,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,
"769",450,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
"770",3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,570,,,,,,,,,150,,,,,,,,,,,,,,,
"771",1500,,,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,750,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,
"772",3500,,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,
"773",1500,,,,,,,1150,,,,,,,,,,,,,,,,,,300,,,,,1200,,,,,,,,,,,,,360,,,,,,150,,,,,,,,,,,70,,,,,,,,,,,,,,,
"774",3000,,,,,,,1400,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,300,200,,,,,,,,,40,,,,,,,,,,,,,,,
"775",3500,,,,,,,1200,,,,,,,,,,,,,,,,,,,300,,,,900,,,,,,,,,,,,,60,,,,,,360,,,,,,,,,,,70,,,,,,,,,,,,,,,
"776",1500,,,,,,,2000,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,520,,,,,,,,,,1500,,,,,,,70,,,,,,,,
"777",700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"778",900,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
"779",2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,
"780",5600,,,,,,,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,300,,,,,,,,990,,,,,,,,,,,,,,,,,1500,,,,,,,,,150,,,,,,
"781",1050,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"782",1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"783",4200,,,,,,,,,250,,,,,,,,,100,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"784",4200,,,,,,,,,1000,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,130,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"785",,,,,,,,,1850,,,,,,,,,,,,,,,,,,300,,,,300,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,
"786",1750,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
"787",,,,,,,,,1850,,,,,,,,,,,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,
"788",,,,,,,,,1850,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,
"789",1750,,,,,,,2800,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,
"790",3500,,,,,,,1250,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"791",3500,,,,,,,1250,,,,,,,,,,,,,,,,,,,,,,,280,,,,,,,,,400,,,,,,,,,,,,,,,,500,,,,,100,,,,,,,,,,,,,,,
"792",3000,,,,,,,2200,,,,,,,,,,,,,,,,,,,500,,,,1200,,,,,500,,,,,,,,300,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,
"793",,,,,,,,,1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,
"794",1050,,,,,,,1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,
"795",1560,,,,,,,2280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,
"796",1050,,,,,,,1750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000,,,75,,,,,,,,,,,,,,,
"797",3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"798",3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"799",3500,,,,,,,,,,,,,,,,,,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"800",5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"801",5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"802",3500,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"803",5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,
"804",5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,
"805",3500,,,,,,,,,,,,,,,,,,1500,,,,,,,,,560,,,,,,,,,,,,,,,,8,,,,,,,,8,,,,,,,,,230,,,,,,,,,30,,,,,,
"806",3500,,,,,,,,,,,,,,,,,,1500,,,,,,,,,560,,,,,,,,,,,,,,,,8,,,,,,,,8,,,,,,,,,230,,,,,,,,,30,,,,,,
"807",3500,,,,,,,,,,8,,,,,,,,1500,,,,,,,,,,,,,,,,,230,,,,,,,,1500,,,,,,,,320,,,,,,,,,210,,,,,,,,,30,,,,,,
"808",3500,,,,,,,,,,8,,,,,,,,1500,,,,,,,,,,,,,,,,,230,,,,,,,,1500,,,,,,,,320,,,,,,,,,210,,,,,,,,,30,,,,,,
"809",3500,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"810",3500,4000,,,,,,,,3500,1500,,,,,,,,1200,1300,,,,,,,,2000,2500,,,,,,,1200,1300,,,,,,,1450,1250,,,,,,,3600,1230,,,,,,,,1560,1435,,,,,,,,1560,1680,,,,,
"811",3500,4000,,,,,,,,4500,2100,,,,,,,,3100,3400,,,,,,,,3100,2100,,,,,,,3500,3600,,,,,,,3500,4500,,,,,,2100,3200,3800,,,,,,,,3500,4200,,,,,,,,3400,3800,,,,,
"812",3500,4200,,,,,,,1500,2530,3400,,,,,,,2100,3500,4300,,,2100,,,,,1600,2200,,3400,,,,,210,250,,,2100,,,,3500,4200,,,,,,1200,2300,3400,,,,,,3400,,2400,4500,,,,,,,,3400,2100,,,,,
"813",500,,,,,,,,,,,,,,,,,,200,100,,,,,,150,,,,,,,,,,,,,,,,,,100,400,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,
"814",500,,,,,,,,,,,,,,,,,,200,100,,,,,,150,,,,,,,,,,,,,,,,,,100,400,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,
"815",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,
"816",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,
"817",14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"818",14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"819",14000,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"820",14000,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"821",15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,
